Pregunta,Respuesta
¿Qué es un conjunto de datos?,Un conjunto de datos es un archivo que contiene los datos que se utilizarán para entrenar el modelo. Necesitas agregar uno para poder entrenar.
¿Qué es un objetivo en el modelo?,"El objetivo es el propósito que quieres optimizar al entrenar el modelo. Puede ser precisión, tiempo de respuesta, etc."
¿Qué es una característica de entrada?,Son las variables que se utilizarán para hacer las predicciones. Estas son las columnas de tu conjunto de datos que no son el objetivo.
¿Qué es una característica de salida?,"Es el objetivo o la variable que deseas predecir. Puede ser una categoría, un número, etc."
¿Cómo trato los datos faltantes?,"Puedes reemplazar los valores faltantes con un valor constante, el valor más frecuente, el valor medio, o usar otras estrategias como eliminar filas."
¿Cómo sé si mi conjunto de datos depende del tiempo?,"Si tu conjunto de datos tiene una relación con el tiempo (por ejemplo, series temporales), debes seleccionar la opción 'Sí'. Si no, selecciona 'No'."
¿Qué es un modelo automático?,"Un modelo automático se entrena sin intervención manual, es decir, la herramienta selecciona automáticamente el mejor modelo y configuración para el conjunto de datos."
¿Qué es un modelo semiautomático?,"En el modelo semiautomático, la herramienta genera un archivo de configuración basado en el conjunto de datos, pero el usuario puede ajustar algunos parámetros."
¿Qué es un valor objetivo?,"El valor objetivo es la métrica que se utilizará para evaluar el rendimiento del modelo, como precisión, pérdida, entre otros."
¿Qué es una métrica?,"Una métrica es una forma de evaluar la calidad del modelo. Puede ser precisión, pérdida, o cualquier otra medida relevante para el tipo de modelo."
¿Cómo selecciono una métrica?,"Puedes seleccionar la métrica que mejor se adapte al tipo de modelo y el problema que estás tratando de resolver, como la precisión o la pérdida."
¿Qué es un separador de columnas?,"Es el carácter que se usa en el conjunto de datos para separar las columnas. Puede ser coma, punto y coma, o barra invertida, dependiendo de cómo esté estructurado tu archivo."
¿Qué pasa si mi conjunto de datos tiene valores faltantes?,"Tienes varias opciones para tratar los valores faltantes: puedes rellenarlos con un valor constante, con la media, con el valor más frecuente, o eliminarlos."
¿Cómo puedo verificar el rendimiento de mi modelo?,"Después de entrenar el modelo, puedes comparar su rendimiento utilizando gráficos, matrices de confusión, y otras herramientas de evaluación."
¿Qué es una matriz de confusión?,"Es una herramienta que te permite ver cuán bien está funcionando el modelo, mostrando los aciertos y errores en las predicciones."
¿Qué significa 'max runtime'?,Es el tiempo máximo que el modelo puede correr durante el entrenamiento. Esto establece un límite de tiempo para el proceso de entrenamiento.
¿Qué tipo de objetivo puedo seleccionar?,"Los objetivos pueden ser binarios, numéricos, categóricos, entre otros. Depende de lo que estás tratando de predecir."
¿Puedo modificar las características antes de entrenar?,"Sí, puedes modificar las características antes de entrenar el modelo. Esto incluye cambiar las variables de entrada o de salida."
"No sé qué es un modelo de Machine Learning, ¿qué es?",Un modelo de Machine Learning es una estructura matemática que aprende patrones a partir de datos. El modelo hace predicciones o toma decisiones basadas en los datos que se le proporcionan.
¿Qué son las características y cómo se relacionan con mi conjunto de datos?,Las características son las variables o columnas de un conjunto de datos que el modelo usa para aprender. El conjunto de datos debe contener estas características para que el modelo pueda realizar predicciones.
¿Qué es un conjunto de entrenamiento?,El conjunto de entrenamiento es una parte del conjunto de datos que se usa para entrenar el modelo. Este conjunto permite que el modelo aprenda a hacer predicciones basadas en los datos.
¿Qué significa 'overfitting'?,El 'overfitting' ocurre cuando un modelo se ajusta demasiado bien a los datos de entrenamiento y pierde capacidad para generalizar con nuevos datos. Esto puede llevar a un mal desempeño en predicciones fuera del conjunto de entrenamiento.
¿Por qué es importante dividir mis datos en entrenamiento y prueba?,"Es importante dividir los datos en conjuntos de entrenamiento y prueba para poder evaluar el rendimiento del modelo en datos que no ha visto antes, asegurando así que no esté sobreajustado a los datos de entrenamiento."
¿Qué es la validación cruzada?,"La validación cruzada es una técnica que divide los datos en múltiples subconjuntos para entrenar y probar el modelo varias veces, con el fin de obtener una evaluación más robusta de su rendimiento."
¿Qué es el aprendizaje supervisado?,"El aprendizaje supervisado es un tipo de Machine Learning donde el modelo se entrena con datos etiquetados, es decir, datos donde ya se conoce la respuesta o la salida esperada."
¿Qué es el aprendizaje no supervisado?,"El aprendizaje no supervisado es un tipo de Machine Learning donde el modelo trabaja con datos no etiquetados, y debe encontrar patrones o estructuras en los datos por sí mismo, como en el caso de agrupamiento o reducción de dimensiones."
¿Qué es un parámetro en Machine Learning?,Un parámetro es una variable interna del modelo que se ajusta durante el proceso de entrenamiento. Los parámetros permiten que el modelo haga predicciones basadas en los datos.
¿Qué es un hiperparámetro?,"Un hiperparámetro es un parámetro que se configura antes de iniciar el entrenamiento del modelo. A diferencia de los parámetros, los hiperparámetros no se aprenden durante el entrenamiento, sino que se deben ajustar manualmente."
¿Qué es un algoritmo de Machine Learning?,"Un algoritmo es un conjunto de reglas o pasos que un modelo sigue para aprender de los datos. Hay varios tipos de algoritmos dependiendo del tipo de tarea, como la regresión, clasificación, o agrupamiento."
